year,country,region,latitude,longitude,date,remote_sale,salesman_position,product_type,product_subtype,number_of_sales,distance_travelled_in_KM,sales_amount_in_dollars,unit_price
1970,United States,North America,37.97457,-122.532474,1970-8-7,NO,junior,energy,used,555,2034.7758791208698,62427.07064495987,112.48120836929706
1970,United States,North America,41.260675,-95.940469,1970-8-17,NO,lead,gold,used,535,2013.8573951271746,82087.50938279925,153.43459697719487
1970,United States,North America,43.07295,-89.38669399999999,1970-8-24,YES,senior,energy,standard,517,0.0,61881.103569633866,119.69265680780245
1972,United Kingdom,Western Europe,54.597269,-5.930109,1972-2-1,YES,VP,automotive,used,498,0.0,91932.94859597397,184.60431444974694
1972,United Kingdom,Western Europe,51.248428999999994,-0.755979,1972-2-22,NO,junior,energy,premium,642,2026.8535077617157,84693.9090797954,131.92197675980591
1972,Spain,Western Europe,41.656285,-0.876533,1972-11-2,NO,lead,semiconductors,used,465,1989.299455803836,33338.65164695253,71.69602504720974
1973,United States,North America,43.148513,-102.371903,1973-2-27,NO,VP,energy,premium,569,2005.8683696623273,78076.77757604935,137.2175352830393
1973,Spain,Western Europe,41.387917,2.1699189999999997,1973-3-2,YES,junior,gold,used,458,0.0,57660.57496927531,125.89645189798102
1973,France,Western Europe,43.296482,5.36978,1973-12-14,NO,junior,energy,standard,648,2011.1881158950296,84845.77616336648,130.9348397582816
1974,Argentina,South America,-36.774967,-59.854038,1974-1-19,NO,lead,energy,used,559,2008.5152827538238,66009.4382304174,118.08486266622076
1974,United Kingdom,Western Europe,53.717059,-1.635032,1974-2-4,YES,lead,semiconductors,used,566,0.0,98675.68801077099,174.33867139712189
1974,United Kingdom,Western Europe,51.500152,-0.126236,1974-7-17,YES,senior,gold,used,145,0.0,25486.544478772183,175.76927226739437
1974,United States,North America,33.941589,-118.40853,1974-8-6,YES,junior,energy,standard,422,0.0,64439.68061121557,152.70066495548713
1974,Spain,Western Europe,40.416691,-3.7003449999999996,1974-9-13,YES,junior,gold,premium,442,0.0,33169.474020932365,75.04405887088771
1974,United Kingdom,Western Europe,51.236419,-0.570291,1974-10-5,NO,VP,semiconductors,standard,361,2013.0735167082355,62316.76053123162,172.62260534967209
1974,United Kingdom,Western Europe,51.500152,-0.126236,1974-11-7,NO,senior,automotive,premium,544,2038.1658104685007,98526.83325407434,181.1155023052837
1974,United Kingdom,Western Europe,52.482960999999996,-1.8935919999999997,1974-11-21,YES,lead,energy,used,376,0.0,55016.11739396079,146.31946115415104
1974,United Kingdom,Western Europe,52.482960999999996,-1.8935919999999997,1974-11-21,YES,junior,automotive,standard,219,0.0,32967.40368780443,150.53608989865035
1975,United Kingdom,Western Europe,51.500152,-0.126236,1975-1-1,YES,senior,automotive,used,430,0.0,77201.52350990199,179.53842676721393
1975,United States,North America,18.46617,-66.106654,1975-1-11,NO,junior,energy,standard,543,2004.7443198058945,78837.19766573593,145.18820932916378
1975,United States,North America,40.712784,-74.005941,1975-1-24,NO,junior,semiconductors,premium,371,2004.8201282343161,44844.96945266479,120.8759284438404
1975,Sweden,Western Europe,59.332788,18.064488,1975-4-24,NO,senior,energy,standard,395,2007.535273608741,58943.449119716424,149.2239218220669
1975,Argentina,South America,-34.6037,-58.381503,1975-4-25,NO,junior,automotive,premium,458,1979.4284565861435,96092.7153341694,209.80942212700745
1975,United States,North America,40.712784,-74.005941,1975-12-29,NO,junior,semiconductors,used,361,2026.9125781173834,48323.815132495634,133.8609837465253
1976,Argentina,South America,-34.6037,-58.381503,1976-7-2,NO,lead,semiconductors,standard,645,1977.916129662118,98375.83951745144,152.52068142240535
1976,Turkey,Middle East & North Africa,41.010560999999996,28.967632000000002,1976-8-11,NO,VP,energy,premium,634,2023.8410827135,97279.38367562415,153.43751368394976
1976,Argentina,South America,-32.951052000000004,-60.666365,1976-12-13,NO,junior,energy,standard,487,2001.7437589353224,54358.79380291772,111.6196998006524
1977,Spain,Western Europe,41.387917,2.1699189999999997,1977-9-20,NO,junior,semiconductors,used,616,1987.5547644299188,92321.97319784493,149.87333311338463
1977,Spain,Western Europe,40.416691,-3.7003449999999996,1977-9-20,NO,junior,energy,used,640,2014.0412910372188,113088.0412783417,176.7000644974089
1977,Netherlands,Western Europe,52.090142,5.109665000000001,1977-9-22,NO,senior,energy,standard,579,1993.3410096525165,52875.66856680226,91.32239821554795
1978,United Kingdom,Western Europe,54.597269,-5.930109,1978-2-8,NO,junior,semiconductors,standard,314,2033.6632988175772,54932.09936305372,174.94299160208192
1978,United Kingdom,Western Europe,54.597269,-5.930109,1978-2-17,YES,lead,energy,standard,548,0.0,86984.82469271851,158.73143192101918
1978,Netherlands,Western Europe,52.992753,6.564228,1978-3-13,NO,junior,automotive,used,578,1989.358049464704,108473.00359931047,187.6695564001911
1978,Turkey,Middle East & North Africa,41.014195,28.94835,1978-3-16,NO,junior,energy,used,485,1984.630613228928,89617.19500485959,184.77772165950432
1978,Spain,Western Europe,43.256963,-2.923441,1978-3-17,YES,junior,energy,standard,463,0.0,68362.33822151658,147.65083849139648
1978,France,Western Europe,48.856614,2.3522220000000003,1978-5-20,YES,senior,energy,used,508,0.0,92910.48557386402,182.8946566414646
1978,France,Western Europe,48.856614,2.3522220000000003,1978-7-31,NO,lead,semiconductors,used,541,1980.993723186577,75747.02311736136,140.01298173264576
1978,Argentina,South America,-34.6037,-58.381503,1978-8-1,NO,junior,energy,used,509,2018.3087213728286,80110.70691397559,157.38842222784987
1978,Turkey,Middle East & North Africa,39.921478,32.851087,1978-8-10,NO,junior,energy,used,497,2000.481710701416,63417.517238548004,127.60063830693764
1978,United Kingdom,Western Europe,51.500152,-0.126236,1978-8-20,YES,senior,energy,standard,338,0.0,56377.412753108874,166.7970791512097
1978,United Kingdom,Western Europe,54.347539000000005,-6.656108000000001,1978-9-29,YES,junior,energy,standard,391,0.0,55390.77074366441,141.66437530348955
1978,Thailand,Southeast Asia,9.133885000000001,99.326698,1978-9-30,YES,junior,energy,premium,439,0.0,69986.11760615099,159.4216801962437
